Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
EKGYO.IS,10.79,2024/02/20,17:09 TRT,0.2699995,10.65,10.83,10.48,241332087,20240216,10.57,6868.0,0.0,,,
BIMAS.IS,395.5,2024/02/20,17:09 TRT,5.5,391.75,397.75,389.25,2862622,20240215,392.82,2.0,0.0,,,
ASELS.IS,59.55,2024/02/20,17:09 TRT,1.0499992,58.5,59.55,58.25,44216203,20240216,58.32,103.0,0.0,,,
GUBRF.IS,204.1,2024/02/20,17:09 TRT,6.400009,208.1,210.9,196.1,25879923,20240216,207.63,98.0,0.0,,,
FROTO.IS,986.0,2024/02/20,17:09 TRT,26.5,967.0,997.5,958.5,1314560,20240216,963.51,27.0,0.0,,,
TCELL.IS,67.35,2024/02/20,17:09 TRT,0.5999985,68.45,67.45,66.1,33651559,20240216,68.44,26.0,0.0,,,
TAVHL.IS,171.8,2024/02/20,17:09 TRT,6.800003,167.0,173.2,162.5,7258687,20240216,167.25,1326.0,0.0,,,
