Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
IPEKE.IS,41.08,2024/03/01,17:09 TRT,-0.11999893,41.2,42.36,40.5,6176814,20231226,29.82,623.0,,,,
GUBRF.IS,195.7,2024/03/01,17:09 TRT,-4.900009,205.8,209.9,195.6,23059910,20231226,172.6,232.0,,,,
AKFGY.IS,2.58,2024/03/01,17:09 TRT,0.06999993,2.51,2.63,2.51,118934382,20231226,1.75,21828.0,,,,
KOZAL.IS,22.78,2024/03/01,17:09 TRT,-0.11999893,22.82,23.34,22.46,128831591,20231226,18.99,8588.0,,,,
AHGAZ.IS,13.87,2024/03/01,17:09 TRT,0.47000027,13.4,14.18,13.34,22025187,20231226,9.62,48279.0,,0.0,,
TUKAS.IS,8.9,2024/03/01,17:09 TRT,0.22999954,8.8,8.97,8.73,44383378,20231226,6.3,42190.0,0.0,,,
