,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,PGSUS.IS,1.2931832697439585,1.0596398296318466,1.2203988879818273,0.491,0.558
1,TAVHL.IS,1.0066363631304835,1.356254754500231,0.7422177579767607,0.405,0.549
2,PETKM.IS,1.0156818170110107,0.9197021289933645,1.1043595366281236,0.447,0.536
3,ISCTR.IS,1.4111056159624757,1.8439186207765448,0.7652754303051645,0.508,0.53
4,GARAN.IS,0.9913851298403628,1.821962533013113,0.5441303604640192,0.434,0.523
5,YKBNK.IS,0.8300292344950926,1.5937314001697636,0.5208087350269175,0.455,0.518
6,BIMAS.IS,0.9208965322826594,1.835592619703289,0.5016889490607759,0.447,0.514
7,ALARK.IS,1.384739254542962,1.0870804696101481,1.273814858470929,0.504,0.505
8,TCELL.IS,1.298986415933528,1.3229622965636403,0.9818771247734052,0.55,0.504
9,KOZAA.IS,1.518338402955099,0.6854026659547494,2.2152502147625737,0.5,0.5
10,ASELS.IS,1.0087216131970835,1.4769203594639224,0.6829898489335059,0.406,0.495
11,AKBNK.IS,1.0895906594662044,1.6294315752777606,0.6686937187162754,0.508,0.491
12,SAHOL.IS,0.9704448332676484,1.232211406989172,0.7875635850822602,0.467,0.465
13,XU100.IS,1.0137229618397492,1.1041140704411254,0.9181324547695852,0.595,0.464
14,TUPRS.IS,0.8810509746959594,1.299255652457686,0.6781197934597043,0.485,0.462
15,ENKAI.IS,1.3174081236275104,0.8126584478365723,1.62110924599955,0.562,0.456
16,ARCLK.IS,0.9488688413777862,0.8351967399941121,1.1361021851982749,0.418,0.446
17,TOASO.IS,1.1399755521530115,1.040152657253257,1.0959694658314463,0.509,0.441
18,THYAO.IS,0.9523140083881275,1.2236106324786553,0.778281900394274,0.473,0.438
19,EKGYO.IS,0.9314413770975017,0.8653765588576331,1.0763422784724832,0.426,0.434
20,KOZAL.IS,1.569260695944631,0.5776404675548951,2.716673751385846,0.512,0.431
21,GUBRF.IS,0.37030653787177215,0.5070114625713094,0.7303711359774038,0.495,0.427
22,FROTO.IS,0.899882188193533,1.2054536245671983,0.7465091728573329,0.378,0.42
23,KRDMD.IS,1.0650398722965586,0.790396867080896,1.3474748150634475,0.482,0.394
24,SISE.IS,0.8575597556837982,0.6992209225215038,1.226450365059585,0.426,0.371
25,EREGL.IS,0.808654692575714,0.6360822568186876,1.2713052186365534,0.444,0.368
