,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,NQ=F,0.7888838554119207,1.4368522678015525,0.5490361626522314,0.091,0.581
1,XU100.IS,1.6774931464355762,1.7522057299517637,0.9573608382628425,0.728,0.566
2,^FCHI,0.8043725728342008,1.1618390589484262,0.6923270195118365,0.505,0.562
3,GC=F,0.8171167232676582,1.091703720936601,0.7484784631553995,0.373,0.55
4,^GSPC,0.8269201964779916,1.303132636596003,0.634563338570081,0.384,0.549
5,XU030.IS,1.543721703630209,1.7024211700382879,0.9067801380756387,0.634,0.531
6,^GDAXI,0.8123649040429365,1.2008453429983075,0.6764941953429231,0.466,0.504
7,CL=F,0.9859091577371047,1.222945032039171,0.8061761828274273,0.398,0.5
8,SI=F,0.7670802778311292,1.1135223250268205,0.6888773225203664,0.444,0.424
