,assets,%,Amount,buy_price,shares_to_buy,Portfolio_Weights,InitialPrices,FinalPrices,Portfolio_Amounts,Portfolio_Shares,Purchased Value,Market Value,PnL %,Start PF %,End PF %,Final_Cost,Rebalance Buy Price,Rebalance Shares
1,TAVHL.IS,58.52,58520.0,171.8,340.0,0.5852,102.5,171.8,58520.0,570,58425.0,97926.0,67.61,58.88,62.68,62680.0,171.8,340.0
18,EKGYO.IS,20.27,20270.0,10.79,1878.0,0.2027,6.84,10.79,20270.0,2963,20266.92,31970.77,57.75,20.43,20.46,20460.0,10.79,1878.0
22,ASELS.IS,7.05,7050.0,59.55,118.0,0.0705,43.52,59.55,7050.0,161,7006.72,9587.55,36.83,7.06,6.14,6140.0,59.55,118.0
11,TUPRS.IS,6.25,6250.0,171.3,36.0,0.0625,143.5,171.3,6250.0,43,6170.5,7365.9,19.37,6.22,4.71,4710.0,171.3,36.0
21,FROTO.IS,3.89,3890.0,986.0,3.0,0.0389,736.0,986.0,3890.0,5,3680.0,4930.0,33.97,3.71,3.16,3160.0,986.0,3.0
19,GUBRF.IS,2.88,2880.0,204.1,14.0,0.0288,172.6,204.1,2880.0,16,2761.6,3265.6,18.25,2.78,2.09,2090.0,204.1,14.0
3,BIMAS.IS,1.14,1140.0,395.5,2.0,0.0114,303.75,395.5,1140.0,3,911.25,1186.5,30.21,0.92,0.76,760.0,395.5,2.0
