,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,MCO,0.7816498719594956,1.370046542420303,0.5705279694941203,0.424,0.616
1,VLTO,0.6594280300968501,1.1485428475333814,0.5741431688970441,0.48,0.614
2,NVDA,1.8816860433584732,3.8125876299232524,0.493545650882876,0.573,0.6
3,BLK,0.7969557232321909,1.353227775101855,0.5889294750635793,0.375,0.595
4,INTC,0.8159155186115622,1.6390637742642653,0.4977936376989396,0.427,0.592
5,PKG,0.8923440224024103,1.4552862987301833,0.6131742071515612,0.465,0.59
6,APH,0.8316424709888273,1.4577411834150846,0.5705007723253855,0.427,0.587
7,AMP,0.7383799703649221,1.3874807420578041,0.5321731307562612,0.387,0.587
8,ACN,0.6749380165754916,1.5181277640154884,0.444585780310257,0.426,0.585
9,MCD,0.8136963946165638,1.1416561775730019,0.7127333172640175,0.424,0.584
10,WDC,1.1255907701764136,1.7470881198208426,0.644266741560717,0.465,0.584
11,MCK,0.8355232344112391,1.5772660175985453,0.5297287997641379,0.367,0.583
12,MMC,0.826906008855004,1.324055389942477,0.6245252390014655,0.47,0.579
13,EFX,0.8047125575992651,1.4079482102383605,0.5715498281453337,0.425,0.579
14,FICO,0.8422597475867347,1.8691070669755034,0.4506214558107887,0.5,0.578
15,CRM,0.8053655170843725,1.7627902280307086,0.4568697422291036,0.457,0.573
16,TT,1.0122661282684637,1.5524637928958298,0.6520384777414172,0.446,0.562
17,ADBE,0.8951949406699623,1.675341703286835,0.5343357351599909,0.469,0.561
18,GE,0.9519245793774175,1.8495691689267295,0.5146736847531912,0.412,0.561
19,PODD,0.9683106599506944,0.6405692884906186,1.5116407816433675,0.329,0.558
20,ODFL,0.8895487555621181,1.2788230518260137,0.6955995626540699,0.49,0.558
21,PEG,0.8138964849653199,1.1833228865581369,0.6878059185795465,0.435,0.556
22,FFIV,0.7472900803033758,1.3929963370092509,0.5364623441205884,0.38,0.556
23,ABNB,0.5228439059491286,1.3939983043783952,0.3750678206041811,0.419,0.554
24,ORCL,0.7012564460596368,1.3577027497068777,0.5165021918170491,0.442,0.553
25,KMX,0.8427234221439663,1.2830691547216202,0.6568028068033535,0.402,0.553
26,GWW,0.8482456754619369,1.4454242814235014,0.5868489179015013,0.524,0.548
27,IVZ,0.7238385877097452,1.0197422808418022,0.7098250227618422,0.438,0.546
