,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,TAVHL.IS,0.9790629120080316,1.322999562953593,0.7400326798463005,0.426,0.568
1,PETKM.IS,0.9429970956357644,0.867859315186816,1.0865782957376844,0.443,0.55
2,PGSUS.IS,1.2770866775726415,0.9888349664850268,1.2915063896984265,0.5,0.544
3,GARAN.IS,0.9798845282639781,1.6366404877602623,0.598717027711411,0.425,0.541
4,YKBNK.IS,0.8031803353921275,1.5591771007598485,0.5151309206636668,0.439,0.526
5,ISCTR.IS,1.3312370796587454,1.4749603135527694,0.9025578976102518,0.487,0.522
6,AKBNK.IS,1.1136136042493596,1.6488033886563076,0.6754071540069426,0.508,0.509
7,ALARK.IS,1.3376477984167103,1.115517890095797,1.1991271590470303,0.487,0.5
8,ASELS.IS,0.9868380210621212,1.1136633700521341,0.8861187748465895,0.394,0.5
9,BIMAS.IS,0.8781329875236202,1.4923854754581525,0.5884089613335585,0.459,0.5
10,TCELL.IS,1.208315719160425,1.2133174765321713,0.9958776186212681,0.55,0.496
11,KOZAA.IS,1.4353156889588181,0.6777172109137237,2.117868140051618,0.482,0.491
12,TUPRS.IS,0.8503932980551643,1.40925769276701,0.6034334972374412,0.48,0.482
13,XU100.IS,0.9892970132804307,1.0476854999566825,0.9442690705572752,0.603,0.477
14,FROTO.IS,0.9094881747582391,1.1284273957526798,0.8059784600954281,0.398,0.467
15,SAHOL.IS,0.9772283965050792,1.1768563762320827,0.8303718416633401,0.486,0.455
16,THYAO.IS,0.9633599310552863,1.3523896384217338,0.7123390357970703,0.472,0.455
17,ENKAI.IS,1.242404115771482,0.7091368388770015,1.7519948868246213,0.551,0.452
18,TOASO.IS,0.9455193928797377,0.8216486495090908,1.1507587743796035,0.509,0.451
19,EKGYO.IS,0.9153294093190015,0.8320544076797529,1.1000836013494206,0.431,0.445
20,KOZAL.IS,1.52233769956241,0.5961538331253121,2.5535987776537756,0.483,0.441
21,ARCLK.IS,0.8468428510271335,0.7110040798850692,1.1910520276677203,0.417,0.431
22,GUBRF.IS,0.3825058303593943,0.4231246721517494,0.90400266288942,0.485,0.402
23,EREGL.IS,0.8215220454091909,0.6693855071281656,1.2272779088596195,0.452,0.383
24,KRDMD.IS,1.047870256457219,0.7052034788550842,1.4859119217030285,0.482,0.38
25,SISE.IS,0.8124377689738608,0.6247224264250516,1.3004779956804216,0.422,0.367
